"FACILITY_UNIT_PROCESS_ID","CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","TREATMENT_TYPE","UNIT_PROCESS","EXISTING_FLAG","PLANNED_FLAG","UNIT_PROCESS_NOTES"
3407,"48003069001",1183223,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","stabilization ponds/lagoon system"
3426,"48005060001",1183612,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3430,"48005060001",1183612,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","oxidation ditch"
3429,"48005060001",1183612,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3428,"48005060001",1183612,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3425,"48001007001",1182876,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","stabilization ponds"
3420,"48006047002",1183710,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","oxidation ditch"
3422,"48006047002",1183710,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3419,"48006047002",1183710,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3421,"48006047002",1183710,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3330,"48008050001",1184396,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3332,"48008050001",1184396,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","Oxidation Ditch"
3331,"48008050001",1184396,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3386,"48008050001",1184396,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3392,"48020780001",428136,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","",""
3393,"48020780001",428136,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3391,"48020780001",428136,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3338,"48007033001",1183814,"TX","Wastewater","Solids handling","Biosolids Mechanical Dewatering","Y","","centrifuge"
3339,"48007033001",1183814,"TX","Wastewater","Solids handling","Biosolids Drying","Y","","Belt Press"
3340,"48007033001",1183814,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","aerobic digestion"
3337,"48007033001",1183814,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3370,"48007033001",1183814,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","activated sludge"
3371,"48007033001",1183814,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
7293,"48004026801",3507483,"TX","Stormwater","Gray infrastructure","Gray stormwater conveyance","Y","",""
3415,"48001139001",1182942,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","activated sludge"
3414,"48001139001",1182942,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3416,"48001139001",1182942,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3417,"48001139001",1182942,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3357,"48007033006",2881937,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","activated sludge"
3356,"48007033006",2881937,"TX","Wastewater","Solids handling","Biosolids Mechanical Dewatering","Y","","Centrifuge"
3358,"48007033006",2881937,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","aerobic digestion"
3354,"48007033006",2881937,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3355,"48007033006",2881937,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3372,"48007033006",2881937,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3326,"48005025002",1183585,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
