"CWNS_ID","FACILITY_ID","STATE_CODE","NEED_REASON"
"48002062001",1183143,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48007039012",1183827,"TX","The project(s) is to achieve or maintain compliance with a TMDL."
"48007039012",1183827,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48007039084",1183851,"TX","The project(s) is to achieve or maintain compliance with a TMDL."
"48007039084",1183851,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48006022001",417949,"TX","The project(s) is required to maintain compliance with a NPDES permit."
"48006022001",417949,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48009045001",1184491,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48001125001",1182927,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48001125001",1182927,"TX","The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"48003069001",1183223,"TX","The project(s) is required to maintain compliance with a NPDES permit."
"48003069001",1183223,"TX","The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements."
"48003069001",1183223,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48003069001",1183223,"TX","The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"48003084001",1183235,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48005060001",1183612,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48007039001",1183820,"TX","The project(s) is required to maintain compliance with a NPDES permit."
"48007039001",1183820,"TX","The project(s) is to achieve or maintain compliance with a TMDL."
"48006047002",1183710,"TX","The project(s) is required to maintain compliance with a NPDES permit."
"48006047002",1183710,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48006047002",1183710,"TX","The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"48008045001",1184392,"TX","The project(s) is to achieve or maintain compliance with a TMDL."
"48008045001",1184392,"TX","The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"48001176002",441461,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48009002001",1184466,"TX","The project(s) is to achieve or maintain compliance with a TMDL."
"48009002001",1184466,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48003009001",1227803,"TX","The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements."
"48003009001",1227803,"TX","The project(s) is to achieve or maintain compliance with a TMDL."
"48002008001",1183111,"TX","The project(s) is required to maintain compliance with a NPDES permit."
"48003033002",1183197,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48007039003",1183822,"TX","The project(s) is to achieve or maintain compliance with a TMDL."
"48002025002",453323,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48001162001",1182958,"TX","The project(s) is required to maintain compliance with a NPDES permit."
"48001162001",1182958,"TX","The project(s) will prevent unregulated water quality or human health impacts."
"48001162001",1182958,"TX","The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"48003031001",1183194,"TX","The project(s) is to achieve or maintain compliance with a TMDL."
"48003114001",1183259,"TX","The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements."
"48006043002",1183706,"TX","The project(s) is required to maintain compliance with a NPDES permit."
